Gene Symbol	6d-average	7d-average	8d-average
Zm00001d022713	2.746508668	1.334958478	2.187616912
Zm00001d028472	2.712239801	6.449107536	2.720557956
Zm00001d028474	0.284241834	0.483285095	0.742920218
Zm00001d028475	10.62419474	10.50523655	29.35506846
Zm00001d028480	0.253824485	0.165597588	0.379754927
Zm00001d028482	19.43200964	24.55882595	11.1882476
Zm00001d028484	6.057144458	6.008963078	2.963559197
Zm00001d028510	19.5574203	24.24429905	3.520092318
Zm00001d028524	0.370112047	0.242244684	4.060614582
Zm00001d028539	11.98905516	13.19729953	4.347892786
Zm00001d028547	0.886843173	1.206893148	8.752974193
Zm00001d028548	0.159573225	0.326643395	2.418811261
Zm00001d022715	1.305645818	0.933011441	3.566320902
Zm00001d028557	10.63793846	53.38411478	41.5079412
Zm00001d028561	0.993326996	1.24792515	0.222100482
Zm00001d028565	3.732813266	3.28842767	13.04562998
Zm00001d028567	0.260673901	1.176108197	0.086380579
Zm00001d028577	5.270970163	6.708277304	1.245313866
Zm00001d028588	0.128432978	0.521756316	0.295942484
Zm00001d028596	0.640612789	0.618097732	1.305166238
Zm00001d028598	0.457513891	1.08886185	0.432204992
Zm00001d028601	2.537501475	2.392892268	20.9253068
Zm00001d028609	2.092963519	1.05082972	0.482150666
Zm00001d028615	37.70715992	22.70127214	6.275029929
Zm00001d028616	31.26397054	34.10205715	3.953414393
Zm00001d028630	42.93733597	53.15216088	110.5960139
Zm00001d028647	0.647462205	3.252591066	1.734928431
Zm00001d028649	21.42168594	23.36068024	8.95941089
Zm00001d028651	0.253846272	0.606507227	0.289657259
Zm00001d028657	0.199839203	0.590225761	0.17218668
Zm00001d028671	23.23661472	21.76878276	45.25962205
Zm00001d028675	0.307022822	1.515272569	0.374920756
Zm00001d028676	27.76478472	26.9803991	12.37637285
Zm00001d028679	11.15223944	18.06222133	8.74477861
Zm00001d028686	3.536102684	6.426991618	2.329015691
Zm00001d028693	1.138347769	4.529892367	0.479852758
Zm00001d028708	5.023250409	7.032038464	1.367346238
Zm00001d028711	3.156120221	3.693574542	1.283774301
Zm00001d028714	80.72874077	48.70112228	110.9720539
Zm00001d028733	14.56494765	17.91001055	3.554231467
Zm00001d028735	0.180099686	0.096202234	0.23092197
Zm00001d028737	0.264438271	0.344920424	0.14825848
Zm00001d028740	0.326039441	0.142064379	0.435013634
Zm00001d028745	0.376917889	0.902578689	0.563122596
Zm00001d028750	0.121583562	0.88778835	1.965788809
Zm00001d028752	120.4400947	131.1011309	41.53153328
Zm00001d028770	0.512923182	1.225096341	2.326749655
Zm00001d028776	0.957568759	0.402725273	0.760929036
Zm00001d028793	0.530451745	1.124416163	0.646267099
Zm00001d028796	32.94657257	48.2786125	13.94149365
Zm00001d028803	1.1065513	0.685436741	0.474748359
Zm00001d028806	11.14528241	9.432307893	1.933549854
Zm00001d028808	28.08244443	91.14121384	13.62796764
Zm00001d028809	14.00374651	13.44484349	5.100989929
Zm00001d028814	1.98726664	4.369124923	3.394438472
Zm00001d028815	0.219599192	0.760375129	2.664837791
Zm00001d028867	2.336831754	2.121779796	16.2634504
Zm00001d022725	7.195385921	7.420633998	15.36177097
Zm00001d028928	1.392151781	3.026554012	1.457443906
Zm00001d028930	0.461278261	0.299697333	0.18617631
Zm00001d028947	39.29014671	43.29669768	15.31100816
Zm00001d028948	252.6942991	141.9912985	291.7192577
Zm00001d028949	2.589362952	7.833162667	6.553329437
Zm00001d028952	2.272999158	3.557566124	1.433181736
Zm00001d028962	0.453705947	0.717786655	0.106623561
Zm00001d028965	2.714691727	1.317607358	1.983702011
Zm00001d028967	27.57278059	37.8017968	8.515130929
Zm00001d028972	0.528197217	0.280642068	1.126694333
Zm00001d028974	14.2165808	35.99252217	45.09805988
Zm00001d028992	9.001484013	17.46014046	8.032978112
Zm00001d029010	2.542116837	4.827451029	2.192929946
Zm00001d022735	0.44987753	0.222763383	0.743494695
Zm00001d029039	20.7465851	16.18349976	35.90934838
Zm00001d029045	0.405060238	0.153794065	0.442509405
Zm00001d029049	0.14742781	0.357363001	0.364073738
Zm00001d029051	2.511655913	2.872699165	0.961094976
Zm00001d029052	3.478324672	11.69903508	4.418007534
Zm00001d029062	1.021315521	5.386035203	4.284831907
Zm00001d029067	0.611046432	0.860342416	2.550271469
Zm00001d029072	0.679454758	3.040074734	1.878772161
Zm00001d029087	33.8117359	110.304096	118.5928072
Zm00001d029091	48.89261723	131.8195428	145.5929649
Zm00001d029098	0.228746709	1.712220325	0.471846253
Zm00001d029102	1.241003176	9.863383464	2.420773047
Zm00001d029107	5.556870405	6.605883855	16.27347089
Zm00001d029124	147.7244442	88.50249481	184.2563697
Zm00001d029141	9.093763977	12.17082435	5.542895136
Zm00001d029149	5.1228604	15.41725094	8.248493422
