Gene Symbol	SPOT	Profile	6d-average	7d-average	8d-average
Zm00001d028325	710	1	0	-3.13	-2.53
Zm00001d028331	713	3	0	0.56	-1.22
Zm00001d028335	715	2	0	-6.33	-2.42
Zm00001d022707	717	1	0	-6.33	-6.33
Zm00001d028344	721	3	0	0.62	-1.37
Zm00001d028355	725	3	0	-0.18	-1.32
Zm00001d028360	728	4	0	0.27	1.07
Zm00001d028363	730	0	0	-0.61	-1.62
Zm00001d028366	732	4	0	-0.42	1.37
Zm00001d028367	733	0	0	-0.57	-1.91
Zm00001d028368	734	4	0	-0.79	0.89
Zm00001d028371	737	4	0	0.92	4.52
Zm00001d028374	740	3	0	0.12	-1.32
Zm00001d028386	746	6	0	1.84	2.18
Zm00001d028389	748	7	0	0.74	1.66
Zm00001d028391	749	5	0	1.08	-0.59
Zm00001d028392	750	4	0	-0.75	1.41
Zm00001d028393	751	3	0	0	-1.3
Zm00001d028394	752	3	0	-0.13	-6.66
Zm00001d028395	753	1	0	-1.06	-1.21
Zm00001d028398	756	7	0	1.57	2.87
Zm00001d028399	758	6	0	3.76	3.98
Zm00001d028401	760	4	0	0.38	4.49
Zm00001d028402	761	1	0	-5.36	-5.36
Zm00001d028405	763	4	0	0.4	2.33
Zm00001d028406	764	3	0	0.35	-1.29
Zm00001d028408	765	5	0	1.09	0.4
Zm00001d028409	766	4	0	0.56	3.7
Zm00001d028410	767	3	0	-0.07	-1.33
Zm00001d028413	769	6	0	1.52	1.83
Zm00001d028414	770	4	0	-0.03	1.24
Zm00001d028416	772	5	0	1.5	-0.43
Zm00001d028419	774	3	0	-1.32	-6.42
Zm00001d028423	776	5	0	0.98	-0.96
Zm00001d028428	781	7	0	0.8	1.79
Zm00001d028433	783	1	0	-5.83	-5.83
Zm00001d028437	785	0	0	-1.36	-2.43
Zm00001d022712	788	4	0	0.1	1.14
Zm00001d028447	791	1	0	-2.43	-3.16
Zm00001d022713	800	2	0	-1.04	-0.33
Zm00001d028465	803	2	0	-6.73	-2.59
Zm00001d028470	804	1	0	-5.24	-5.24
Zm00001d028472	806	5	0	1.25	0
Zm00001d028474	808	7	0	0.77	1.39
Zm00001d028475	809	4	0	-0.02	1.47
Zm00001d028478	811	5	0	1.08	0.48
Zm00001d028480	812	2	0	-0.62	0.58
Zm00001d028482	814	3	0	0.34	-0.8
Zm00001d028484	815	3	0	-0.01	-1.03
Zm00001d028486	817	6	0	4.07	4.59
Zm00001d028488	818	1	0	-1.27	-0.99
Zm00001d028495	821	3	0	0.81	-5.74
Zm00001d028496	822	6	0	7.19	6.01
Zm00001d028497	823	5	0	1.17	-0.02
Zm00001d028498	824	1	0	-1.81	-1.82
Zm00001d028503	825	7	0	1.98	4
Zm00001d028504	826	5	0	5.52	0
Zm00001d028505	827	4	0	0	6.13
Zm00001d028510	829	3	0	0.31	-2.47
Zm00001d028517	835	5	0	5.53	0
Zm00001d028524	837	4	0	-0.61	3.46
Zm00001d028526	838	3	0	-0.71	-8.76
Zm00001d028537	849	4	0	-0.43	0.68
